pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
639,Terrakion,V,Cavern Pokémon,Rock,Fighting,1.9,260.0,91,129,90,72,90,108,Justified,,,,,,,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,Its charge is strong enough to break through a giant castle wall in one blow. This Pokémon is spoken of in legends.,,It has phenomenal power. It will mercilessly crush anyone or anything that bullies small Pokémon.,
640,Virizion,V,Grassland Pokémon,Grass,Fighting,2.0,200.0,91,90,72,90,129,108,Justified,,,,,,,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents.",,A legend tells of this Pokémon working together with Cobalion and Terrakion to protect the Pokémon of the Unova region.,
641,Tornadus Incarnate,V,Cyclone Pokémon,Flying,,1.5,63.0,79,115,70,125,80,111,"Prankster, Defiant",,,,,,,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,,,
642,Thundurus Incarnate,V,Bolt Strike Pokémon,Electric,Flying,1.5,61.0,79,115,70,125,80,111,"Prankster, Defiant",,,,,,,Countless charred remains mar the landscape of places through which Thundurus has passed.,The spikes on its tail discharge immense bolts of lightning. It flies around the Unova region firing off lightning bolts.,,,
643,Reshiram,V,Vast White Pokémon,Dragon,Fire,3.2,330.0,100,120,100,150,120,90,Turboblaze,,,,,,,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.,,Flames spew from its tail as it flies through the sky like a jet airplane. It’s said that this Pokémon will scorch the world.,
644,Zekrom,V,Deep Black Pokémon,Dragon,Electric,2.9,345.0,100,150,120,120,100,90,Teravolt,,,,,,,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.,,"When the interior part of its tail spins like a motor, Zekrom can generate many bolts of lightning to blast its surroundings.",
645,Landorus Incarnate,V,Abundance Pokémon,Ground,Flying,1.5,68.0,89,125,90,115,80,101,"Sand Force, Sheer Force",,,,,,,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”,,,
646,Kyurem,V,Boundary Pokémon,Dragon,Ice,3.0,325.0,125,130,90,130,90,95,Pressure,,,,,,,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.,,"Dwelling within it is a power even greater than that of Reshiram or Zekrom, but the extreme cold keeps that power bound.",
647,Keldeo Ordinary,V,Colt Pokémon,Water,Fighting,1.4,48.5,91,72,90,129,90,108,Justified,,,,,,,"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling.","It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts.",,"Cobalion, Terrakion, and Virizion taught this Pokémon how to fight. It dashes across the world, seeking more opportunities to further its training.",
648,Meloetta Aria,V,Melody Pokémon,Normal,Psychic,0.6,6.5,100,77,77,128,128,90,Serene Grace,,,,,,,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.,The melodies sung by Meloetta have the power to make Pokémon that hear them happy or sad.,,,
649,Genesect,V,Paleozoic Pokémon,Bug,Steel,1.5,82.5,71,120,95,120,95,99,Download,,,,,,,"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma.",This ancient bug Pokémon was altered by Team Plasma. They upgraded the cannon on its back.,,,
650,Chespin,VI,Spiny Nut Pokémon,Grass,,0.4,9.0,56,61,65,48,45,38,"Overgrow, Bulletproof",,,,,,,,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",,,
651,Quilladin,VI,Spiny Armor Pokémon,Grass,,0.7,29.0,61,78,95,56,58,57,"Overgrow, Bulletproof",Chespin,,,,,,,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.,,,
652,Chesnaught,VI,Spiny Armor Pokémon,Grass,Fighting,1.6,90.0,88,107,122,74,75,64,"Overgrow, Bulletproof",Quilladin,,,,,,,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,,,
653,Fennekin,VI,Fox Pokémon,Fire,,0.4,9.4,40,45,40,62,60,60,"Blaze, Magician",,,,,,,,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",,,
654,Braixen,VI,Fox Pokémon,Fire,,1.0,14.5,59,59,58,90,70,73,"Blaze, Magician",Fennekin,,,,,,,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.",,,
655,Delphox,VI,Fox Pokémon,Fire,Psychic,1.5,39.0,75,69,72,114,100,104,"Blaze, Magician",Braixen,,,,,,,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.",,,
656,Froakie,VI,Bubble Frog Pokémon,Water,,0.3,7.0,41,56,40,62,44,71,"Torrent, Protean",,,,,,,,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,,,
657,Frogadier,VI,Bubble Frog Pokémon,Water,,0.6,10.9,54,63,52,83,56,97,"Torrent, Protean",Froakie,,,,,,,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.",,,
658,Greninja,VI,Ninja Pokémon,Water,Dark,1.5,40.0,72,95,67,103,71,122,"Torrent, Protean",Frogadier,,,,,,,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",,,
659,Bunnelby,VI,Digging Pokémon,Normal,,0.4,5.0,38,36,38,32,36,57,"Pickup, Cheek Pouch, Huge Power",,,,,,,,They use their large ears to dig burrows. They will dig the whole night through.,,"It excels at digging holes. Using its ears, it can dig a nest 33 feet deep in one night.",
660,Diggersby,VI,Digging Pokémon,Normal,Ground,1.0,42.4,85,56,77,50,77,78,"Pickup, Cheek Pouch, Huge Power",Bunnelby,,,,,,,"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.",,"With power equal to an excavator, it can dig through dense bedrock. It’s a huge help during tunnel construction.",
661,Fletchling,VI,Tiny Robin Pokémon,Normal,Flying,0.3,1.7,45,50,43,40,38,62,"Big Pecks, Gale Wings",,,,,,,,These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.,"This amiable Pokémon is easy to train. But when battle is joined, it shows its ferocious side.",Its melodious cries are actually warnings. Fletchling will mercilessly peck at anything that enters its territory.,
662,Fletchinder,VI,Ember Pokémon,Fire,Flying,0.7,16.0,62,73,55,56,52,84,"Flame Body, Gale Wings",Fletchling,,,,,,,"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.","From its beak, it fires embers at its prey. Once it has caught them, it grills them at high heat before feasting upon them.","Fletchinder launches embers into the den of its prey. When the prey comes leaping out, Fletchinder’s sharp talons finish it off.",
663,Talonflame,VI,Scorching Pokémon,Fire,Flying,1.2,24.5,78,81,71,74,69,126,"Flame Body, Gale Wings",Fletchinder,,,,,,,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.",Its favorite foods are Wingull and Pikipek. It attacks with a powerful kick and grasps them firmly in its talons.,"Talonflame mainly preys upon other bird Pokémon. To intimidate opponents, it sends embers spewing from gaps between its feathers.",
664,Scatterbug,VI,Scatterdust Pokémon,Bug,,0.3,2.5,38,35,40,27,25,35,"Shield Dust, Compound Eyes, Friend Guard",,,,,,,,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.",,,
665,Spewpa,VI,Scatterdust Pokémon,Bug,,0.3,8.4,45,22,60,27,30,29,"Shed Skin, Friend Guard",Scatterbug,,,,,,,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.",,,
666,Vivillon,VI,Scale Pokémon,Bug,Flying,1.2,17.0,80,52,50,90,50,89,"Shield Dust, Compound Eyes, Friend Guard",Spewpa,,,,,,,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.,,,
667,Litleo,VI,Lion Cub Pokémon,Fire,Normal,0.6,13.5,62,50,58,73,54,72,"Rivalry, Unnerve, Moxie",,,,,,,,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",,,
668,Pyroar,VI,Royal Pokémon,Fire,Normal,1.5,81.5,86,68,72,109,66,106,"Rivalry, Unnerve, Moxie",Litleo,,,,,,,The male with the largest mane of fire is the leader of the pride.,,,
669,Flabebe,VI,Single Bloom Pokémon,Fairy,,0.1,0.1,44,38,39,61,79,42,"Flower Veil, Symbiosis",,,,,,,,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.,,,
670,Floette,VI,Single Bloom Pokémon,Fairy,,0.2,0.9,54,45,47,75,98,52,"Flower Veil, Symbiosis",Flabebe,,,,,,,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.,,,
671,Florges,VI,Garden Pokémon,Fairy,,1.1,10.0,78,65,68,112,154,75,"Flower Veil, Symbiosis",Floette,,,,,,,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.",,,
672,Skiddo,VI,Mount Pokémon,Grass,,0.9,31.0,66,65,48,62,57,52,"Sap Sipper, Grass Pelt",,,,,,,,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.",,,
673,Gogoat,VI,Mount Pokémon,Grass,,1.7,91.0,123,100,62,97,81,68,"Sap Sipper, Grass Pelt",Skiddo,,,,,,,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,,,
674,Pancham,VI,Playful Pokémon,Fighting,,0.6,8.0,67,82,62,46,48,43,"Iron Fist, Mold Breaker, Scrappy",,,,,,,,"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.","It grows up imitating the behavior of Pangoro, which it looks up to as a leader.",It chooses a Pangoro as its master and then imitates its master’s actions. This is how it learns to battle and hunt for prey.,
675,Pangoro,VI,Daunting Pokémon,Fighting,Dark,2.1,136.0,95,124,78,69,71,58,"Iron Fist, Mold Breaker, Scrappy",Pancham,,,,,,,"Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.",It boasts superb physical strength. Those who wish to become Pangoro’s Trainer have no choice but to converse with their fists.,"This Pokémon is quick to anger, and it has no problem using its prodigious strength to get its way. It lives for duels against Obstagoon.",
676,Furfrou,VI,Poodle Pokémon,Normal,,1.2,28.0,75,80,60,65,90,102,Fur Coat,,,,,,,,Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.,,,
